Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Acre ;224.939;73.314;  -   ;6.628;680.0;21.478;3.766;10;245.0;328.0;93.920;19.192;1.01;  -   ;2.107;1.07;60.0;17.0;  -   ;1.0;132.0;981.0;norte;janeiro;2015
Amapá ;166.003;69.827;  -   ;3.934;289.0;18.139;3.962;14;838.0;449.0;54.171;10.365;1.059;  -   ;987.0;925.0;50.0;9.0;  -   ;5.0;213.0;767.0;norte;janeiro;2015
Amazonas;760.059;346.762;  -   ;19.667;2.893;76.493;25.949;37;1.515;3.398;207.331;46.766;8.818;  -   ;2.255;12.154;7.0;73.0;  -   ;69.0;1.23;4.642;norte;janeiro;2015
Pará ;1.597.746;495.146;  -   ;54.134;6.628;113.713;33.667;95;3.936;6.235;676.986;149.408;16.013;1;17.24;12.506;161.0;96.0;  -   ;97.0;1.129;10.555;norte;janeiro;2015
Rondônia ;821.833;231.671;  -   ;28.252;5.561;73.023;10.293;9;744.0;1.107;341.393;101.409;5.096;  -   ;10.28;10.09;40.0;27.0;1;38.0;261.0;2.538;norte;janeiro;2015
Roraima;179.925;58.815;  -   ;4.165;525.0;20.272;4.209;  -   ;788.0;612.0;69.462;17.331;902.0;  -   ;874.0;934.0;4.0;9.0;  -   ;2.0;57.0;964.0;norte;janeiro;2015
Tocantins;576.053;174.953;  -   ;21.64;4.296;53.149;9.009;3;1.723;1.544;198.092;80.361;4.943;  -   ;17.382;6.175;112.0;35.0;  -   ;35.0;90.0;2.511;norte;janeiro;2015
Alagoas;676.035;297.999;  -   ;19.931;2.161;45.442;17.342;28;52.0;5.813;224.471;32.746;6.524;1;13.1;5.813;49.0;29.0;  -   ;15.0;199.0;4.32;nordeste;janeiro;2015
Bahia;3.445.891;1.536.625;3;111.127;19.189;285.597;91.564;200;3.673;25.299;1.093.818;154.766;36.462;1;35.07;29.192;667.0;148.0;3;221.0;1.804;20.462;nordeste;janeiro;2015
Ceará;2.611.384;960.458;  -   ;65.491;7.25;160.080;51.530;119;709.0;10.486;1.145.154;132.328;15.028;  -   ;27.751;9.936;334.0;111.0;  -   ;228.0;1.124;23.267;nordeste;janeiro;2015
Maranhão ;1.357.035;364.070;  -   ;35.844;3.471;93.639;19.464;83;8.998;4.308;678.524;121.239;7.442;  -   ;7.438;5.238;38.0;43.0;  -   ;61.0;302.0;6.833;nordeste;janeiro;2015
Paraíba ;1.043.868;441.311;  -   ;27.12;2.542;67.426;22.504;21;140.0;4.218;399.497;55.77;6.83;1;5.469;3.886;28.0;37.0;  -   ;31.0;313.0;6.724;nordeste;janeiro;2015
Pernambuco ;2.582.427;1.162.334;  -   ;88.327;10.737;157.194;79.206;103;1.164;16.885;895.868;91.097;18.602;1;27.533;17.601;142.0;97.0;  -   ;298.0;1.09;14.148;nordeste;janeiro;2015
Piauí;954.547;283.958;  -   ;24.872;2.204;67.175;13.617;35;5.776;2.911;455.674;80.114;5.763;  -   ;3.679;3.233;201.0;33.0;  -   ;73.0;909.0;4.32;nordeste;janeiro;2015
Rio Grande do Norte ;1.049.432;464.729;  -   ;29.413;2.752;71.254;23.451;21;615.0;4.585;368.894;50.156;6.079;1;9.878;5.329;57.0;38.0;  -   ;125.0;458.0;11.597;nordeste;janeiro;2015
Sergipe;626.394;283.694;  -   ;20.208;2.152;34.854;12.436;22;184.0;3.222;207.159;35.921;6.233;  -   ;13.526;2.844;42.0;29.0;1;121.0;323.0;3.423;nordeste;janeiro;2015
Espírito Santo;1.691.390;847.152;  -   ;68.214;17.298;141.019;48.768;17;1.119;7.347;393.986;90.579;14.589;2;22.077;23.103;132.0;176.0;18;2.092;1.185;12.517;sudeste;janeiro;2015
Minas Gerais ;9.471.386;5.231.061;  -   ;312.421;61.195;743.241;259.490;25;19.038;41.804;2.221.804;244.204;70.832;9;139.263;73.086;1.413;1.045;47;2.005;4.103;45.3;sudeste;janeiro;2015
Rio de Janeiro;5.945.036;4.059.681;  -   ;139.181;15.33;299.679;258.639;63;17.356;37.534;814.170;144.203;45.847;9;45.51;19.299;203.0;440.0;1;686.0;1.713;45.492;sudeste;janeiro;2015
São Paulo ;25.806.010;16.372.809;26;659.517;156.175;1.700.412;1.004.003;689;50.185;113.821;4.145.019;755.51;150.836;58;270.736;227.797;1.915;1.651;58;10.232;3.563;180.998;sudeste;janeiro;2015
Paraná;6.740.292;3.988.255;3;256.007;83.152;560.726;200.970;93;7.585;20.119;1.048.652;261.945;38.798;19;105.983;123.215;598.0;786.0;12;1.836;1.662;39.876;sul;janeiro;2015
Rio Grande do Sul ;6.240.957;3.834.983;3;215.134;53.672;438.068;206.911;180;4.537;19.55;994.593;172.212;38.401;38;143.622;68.053;423.0;3.911;38;7.267;894.0;38.467;sul;janeiro;2015
Santa Catarina;4.461.200;2.568.460;  -   ;144.891;48.089;320.006;133.405;70;1.582;11.082;794.345;246.458;18.427;11;69.272;64.667;674.0;1.611;13;2.943;588.0;34.606;sul;janeiro;2015
Distrito Federal;1.594.636;1.152.018;  -   ;22.567;3.174;108.192;67.470;21;1.022;5.218;163.654;16.09;11.779;1;18.77;3.649;710.0;173.0;6;583.0;414.0;19.125;centro-oeste;janeiro;2015
Goiás;3.398.586;1.617.097;  -   ;105.101;26.828;305.585;80.531;66;19.622;8.524;782.109;237.115;20.61;  -   ;133.463;43.377;141.0;216.0;4;225.0;692.0;17.28;centro-oeste;janeiro;2015
Mato Grosso;1.705.001;590.505;  -   ;63.854;27.839;175.497;32.586;3;6.731;3.168;530.028;178.411;10.45;2;25.524;49.136;136.0;101.0;2;82.0;836.0;10.11;centro-oeste;janeiro;2015
Mato Grosso do Sul;1.345.606;624.640;10;47.525;14.182;130.927;32.560;39;1.31;3.366;329.614;95.428;8.644;1;24.778;23.33;173.0;139.0;4;211.0;410.0;8.315;centro-oeste;janeiro;2015
Acre ;225.991;73.633;  -   ;6.636;680.0;21.593;3.779;10;245.0;328.0;94.326;19.324;1.012;  -   ;2.139;1.087;60.0;17.0;  -   ;1.0;135.0;986.0;norte;fevereiro;2015
Amapá ;166.757;70.139;  -   ;3.929;290.0;18.267;3.974;14;839.0;450.0;54.385;10.421;1.073;  -   ;986.0;939.0;50.0;9.0;  -   ;5.0;218.0;769.0;norte;fevereiro;2015
Amazonas;763.552;347.895;  -   ;19.698;2.893;76.860;25.980;37;1.518;3.416;208.774;47.105;8.844;  -   ;2.28;12.178;7.0;73.0;  -   ;69.0;1.255;4.67;norte;fevereiro;2015
Pará ;1.607.305;497.568;  -   ;54.344;6.671;114.521;33.818;95;3.966;6.259;681.525;150.396;16.079;1;17.373;12.576;161.0;96.0;  -   ;100.0;1.137;10.619;norte;fevereiro;2015
Rondônia ;825.456;232.735;  -   ;28.337;5.573;73.475;10.345;9;745.0;1.109;342.709;101.9;5.117;  -   ;10.362;10.102;40.0;29.0;1;38.0;274.0;2.556;norte;fevereiro;2015
Roraima;180.793;59.130;  -   ;4.183;528.0;20.378;4.231;  -   ;790.0;616.0;69.776;17.397;905.0;  -   ;885.0;942.0;4.0;9.0;  -   ;2.0;57.0;960.0;norte;fevereiro;2015
Tocantins;578.912;175.919;  -   ;21.721;4.302;53.437;9.064;3;1.731;1.545;198.893;80.763;4.99;  -   ;17.549;6.19;112.0;35.0;  -   ;35.0;90.0;2.533;norte;fevereiro;2015
